PET,category,orig_text
akıl hastası,physical/mental attributes,"Takvim'de yer alan habere göre Akkaya, kızı Ayşe'nin jimnastik dersinde çekilen fotoğrafını önceki gün İnstagram'da n takipçileriyle paylaştı. Minik kızın fotoğrafının altına yapılan çirkin bir yorum eski mankeni çileden çıkardı. ""Bu leş, akıl hastası pis sapık, çocuk fotoğrafları altına iğrenç yazılar yazmakta! Bu sapığı elbirliği ile şikâyet edelim ve anasından doğduğuna pişman edelim!"" diyen Akkaya, takipçisini mahkemeye vereceğini söyledi.."
akıl hastası,physical/mental attributes,"Kanada’da akıl hastası adam önüne geleni bıçakladı.Kanada’nın Toronto şehrinde dehşet veren bir olay yaşandı. Kaldırımda korkutucu bir şekilde yürüyen akıl hastası şahıs, önce bir adamı, ardından da kadını bıçakladı. Yaralanan kişiler hemen hastaneye kaldırılırken, saldırgan ise kısa süre içinde yakalandı. Etiketler: Kanada"
akıl hastası,physical/mental attributes,"İSTANBUL DHA Anadolu 40. Asliye Ceza Mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık Abdullah Çakıroğlu ve mağdur Ayşegül Terzi’yi avukatları temsil etti. Sanığın tutuklanma talebini reddeden mahkeme Çakıroğlu’nun akıl hastası olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. Duruşma 18 Ocak 2017’ye ertelendi. Etiketler: Anadolu , çekmeköy"
amansız hastalık,illness,"Yakalandığı amansız hastalıktan kurtulamayarak vefat eden Türk basının önde gelen isimlerinden İsmet Tongo, Levent Camii'nde kılınan öğle namazının ardından Zincirlikuyu Mezarlığı'nda toprağıa verildi. Tongo'nun cenazesine, Türkiye Futbol Direktörü Fatih Terim, Türkiye Futbol Federasyonu'nun eski Başkanı Haluk Ulusoy, teknik direktör Mustafa Denizli, Bülent Ünder, Müfit Erkasap, ailesi, yakınları ve çok sayıda spor gazeteci dostu katıldı."
amansız hastalık,illness,"İbrahim Hacıosmanoğlu döneminde yönetime giren Çakıroğlu’nun cenazesi bugün ikindi vaktinde İstanbul Pendik Merkez Camii’nde kılınacak cenaze namazı sonrasında son yolculuğuna uğurlanacak. Bordo-mavili kulübün mesajında, ""Uzun süredir amansız hastalıkla mücadele eden Çakıroğlu, maalesef hayata tutunamadı. Merhuma Allah’tan rahmet, kederli ailesine sabır diliyoruz. Camiamızın başı sağ olsun"" denildi."
aramızdan ayrıldı,death,TSYD İstanbul Şube Başkanı ve Cumhuriyet Gazetesi Spor Müdürü Arif Kızılyalın'ın annesi Nagihan Kızılyalın aramızdan ayrıldı. Nagihan Kızılyalın son yolculuğuna 22 Mart Pazar günü öğle namazına müteakip Şişli Camii'nden uğurlanacak. Kızılyalın'ın cenazesi Bebek'teki Aşiyan Mezarlığı'nda toprağa verilecek. Cumhuriyet.com.tr olarak Sayın Arif Kızılyalın ve ailesine başsağlığı diliyoruz.
aramızdan ayrıldı,death,"Sarı-kırmızılı kulübün internet sitesinde yer alan mesajda, ""Teknik direktörlük yaptığı 1984-1988 yılları arasında Galatasaray'a unutulmaz başarılar yaşatan, aynı zamanda Türk futbolunun gelişimi için büyük katkılar sağlayan Jupp Derwall'i aramızdan ayrılışının 7. yılında özlem ve saygıyla anıyoruz"" denildi. Derwall, 1986-1987 futbol sezonunda 14 yıl aradan sonra ligde şampiyonluğa ulaşan sarı-kırmızılı takımın teknik direktörüydü."
aramızdan ayrıldı,death,"Onur Aydın’ın ‘Yağmur-Kıyamet Çiçeği’ kitabından aynı isimle beyazperdeye aktarılan ve amansız hastalığı nedeniyle 33 yaşındayken aramızdan ayrılan, Kazım Koyuncu’nun hayatının bir bölümünün anlatıldığı ‘Yağmur-Kıyamet Çiçeği’ filmi sanatçının 43’üncü doğum günü olan 7 Kasım’da vizyona girecek. Filmin oyuncu kadrosunda Engin Hepileri, Altan Erkekli, Devrim Saltoğlu, ve Sevtap Erkan Köstengil yer alıyor."
aramızdan ayrıldı,death,"Birleşmiş Ressamlar ve Heykeltraşlar Derneği Yönetim Kurulu Başkanı Önder Aydın, yaptığı yazılı açıklamada, Türkan Saylan'ı  Cumhuriyet'in yetiştirdiği çok değerli bilim kadını, ödünsüz Atatürkçü ve çağdaş yaşamın yılmaz savaşçısı olarak niteledi ve ""Büyük bir boşluk bırakarak aramızdan ayrılan hocamızın idealleri aynı kararlılıkla yaşatılacaktır. Aydınlıktan, uygarlıktan ve insanlıktan yana olan tüm halkımızın başı sağolsun.Anısı ve mücadelesi önünde saygıyla eğiliyoruz"" dedi."
aramızdan ayrıldı,death,"Müdavimleri arasında gazeteci, edebiyatçı, oyuncu ve her türden sanatçının yer aldığı efsane meyhane yaza büyük bir atılım yaparak giriyor. Üç yıl önce aramızdan ayrılan Yakup Arslan’dan görevi devralan Yıldıray ve Ufuk Arslan’ın, Mystaff İnsan Kaynakları işbirliğiyle hayata geçirdiği Yakup 2 Bosphorus, klasikleşmiş lezzetlerini yenilenen mutfaklarıyla bir üst seviyeye taşıyarak misafirlerine hizmet vermeyi amaçlıyor. Etiketler: Beyoğlu , İstanbul"
