origtextlabel	takvimde	yer	alan
takvimde	yer	alan	habere
yer	alan	habere	göre
alan	habere	göre	akkaya
habere	göre	akkaya	kızı
göre	akkaya	kızı	ayşenin
akkaya	kızı	ayşenin	jimnastik
kızı	ayşenin	jimnastik	dersinde
ayşenin	jimnastik	dersinde	çekilen
jimnastik	dersinde	çekilen	fotoğrafını
dersinde	çekilen	fotoğrafını	önceki
çekilen	fotoğrafını	önceki	gün
fotoğrafını	önceki	gün	instagramda
önceki	gün	instagramda	n
gün	instagramda	n	takipçileriyle
instagramda	n	takipçileriyle	paylaştı
n	takipçileriyle	paylaştı	minik
takipçileriyle	paylaştı	minik	kızın
paylaştı	minik	kızın	fotoğrafının
minik	kızın	fotoğrafının	altına
kızın	fotoğrafının	altına	yapılan
fotoğrafının	altına	yapılan	çirkin
altına	yapılan	çirkin	bir
yapılan	çirkin	bir	yorum
çirkin	bir	yorum	eski
bir	yorum	eski	mankeni
yorum	eski	mankeni	çileden
eski	mankeni	çileden	çıkardı
mankeni	çileden	çıkardı	bu
çileden	çıkardı	bu	leş
çıkardı	bu	leş	akıl
bu	leş	akıl	hastası
leş	akıl	hastası	pis
akıl	hastası	pis	sapık
hastası	pis	sapık	çocuk
pis	sapık	çocuk	fotoğrafları
sapık	çocuk	fotoğrafları	altına
çocuk	fotoğrafları	altına	iğrenç
fotoğrafları	altına	iğrenç	yazılar
altına	iğrenç	yazılar	yazmakta
iğrenç	yazılar	yazmakta	bu
yazılar	yazmakta	bu	sapığı
yazmakta	bu	sapığı	elbirliği
bu	sapığı	elbirliği	ile
sapığı	elbirliği	ile	şikâyet
elbirliği	ile	şikâyet	edelim
ile	şikâyet	edelim	ve
şikâyet	edelim	ve	anasından
edelim	ve	anasından	doğduğuna
ve	anasından	doğduğuna	pişman
anasından	doğduğuna	pişman	edelim
doğduğuna	pişman	edelim	diyen
pişman	edelim	diyen	akkaya
edelim	diyen	akkaya	takipçisini
diyen	akkaya	takipçisini	mahkemeye
akkaya	takipçisini	mahkemeye	vereceğini
takipçisini	mahkemeye	vereceğini	söyledi
mahkemeye	vereceğini	söyledi	kanadada
vereceğini	söyledi	kanadada	akıl
söyledi	kanadada	akıl	hastası
kanadada	akıl	hastası	adam
akıl	hastası	adam	önüne
hastası	adam	önüne	geleni
adam	önüne	geleni	bıçakladıkanadanın
önüne	geleni	bıçakladıkanadanın	toronto
geleni	bıçakladıkanadanın	toronto	şehrinde
bıçakladıkanadanın	toronto	şehrinde	dehşet
toronto	şehrinde	dehşet	veren
şehrinde	dehşet	veren	bir
dehşet	veren	bir	olay
veren	bir	olay	yaşandı
bir	olay	yaşandı	kaldırımda
olay	yaşandı	kaldırımda	korkutucu
yaşandı	kaldırımda	korkutucu	bir
kaldırımda	korkutucu	bir	şekilde
korkutucu	bir	şekilde	yürüyen
bir	şekilde	yürüyen	akıl
şekilde	yürüyen	akıl	hastası
yürüyen	akıl	hastası	şahıs
akıl	hastası	şahıs	önce
hastası	şahıs	önce	bir
şahıs	önce	bir	adamı
önce	bir	adamı	ardından
bir	adamı	ardından	da
adamı	ardından	da	kadını
ardından	da	kadını	bıçakladı
da	kadını	bıçakladı	yaralanan
kadını	bıçakladı	yaralanan	kişiler
bıçakladı	yaralanan	kişiler	hemen
yaralanan	kişiler	hemen	hastaneye
kişiler	hemen	hastaneye	kaldırılırken
hemen	hastaneye	kaldırılırken	saldırgan
hastaneye	kaldırılırken	saldırgan	ise
kaldırılırken	saldırgan	ise	kısa
saldırgan	ise	kısa	süre
ise	kısa	süre	içinde
kısa	süre	içinde	yakalandı
süre	içinde	yakalandı	etiketler
içinde	yakalandı	etiketler	kanada
yakalandı	etiketler	kanada	istanbul
etiketler	kanada	istanbul	dha
kanada	istanbul	dha	anadolu
istanbul	dha	anadolu	asliye
dha	anadolu	asliye	ceza
anadolu	asliye	ceza	mahkemesinde
asliye	ceza	mahkemesinde	görülen
ceza	mahkemesinde	görülen	davanın
mahkemesinde	görülen	davanın	duruşmada
görülen	davanın	duruşmada	tutuksuz
davanın	duruşmada	tutuksuz	sanık
duruşmada	tutuksuz	sanık	abdullah
tutuksuz	sanık	abdullah	çakıroğlu
sanık	abdullah	çakıroğlu	ve
abdullah	çakıroğlu	ve	mağdur
çakıroğlu	ve	mağdur	ayşegül
ve	mağdur	ayşegül	terziyi
mağdur	ayşegül	terziyi	avukatları
ayşegül	terziyi	avukatları	temsil
terziyi	avukatları	temsil	etti
