origtextlabel	takvimde	yer
takvimde	yer	alan
yer	alan	habere
alan	habere	göre
habere	göre	akkaya
göre	akkaya	kızı
akkaya	kızı	ayşenin
kızı	ayşenin	jimnastik
ayşenin	jimnastik	dersinde
jimnastik	dersinde	çekilen
dersinde	çekilen	fotoğrafını
çekilen	fotoğrafını	önceki
fotoğrafını	önceki	gün
önceki	gün	instagramda
gün	instagramda	n
instagramda	n	takipçileriyle
n	takipçileriyle	paylaştı
takipçileriyle	paylaştı	minik
paylaştı	minik	kızın
minik	kızın	fotoğrafının
kızın	fotoğrafının	altına
fotoğrafının	altına	yapılan
altına	yapılan	çirkin
yapılan	çirkin	bir
çirkin	bir	yorum
bir	yorum	eski
yorum	eski	mankeni
eski	mankeni	çileden
mankeni	çileden	çıkardı
çileden	çıkardı	bu
çıkardı	bu	leş
bu	leş	akıl
leş	akıl	hastası
akıl	hastası	pis
hastası	pis	sapık
pis	sapık	çocuk
sapık	çocuk	fotoğrafları
çocuk	fotoğrafları	altına
fotoğrafları	altına	iğrenç
altına	iğrenç	yazılar
iğrenç	yazılar	yazmakta
yazılar	yazmakta	bu
yazmakta	bu	sapığı
bu	sapığı	elbirliği
sapığı	elbirliği	ile
elbirliği	ile	şikâyet
ile	şikâyet	edelim
şikâyet	edelim	ve
edelim	ve	anasından
ve	anasından	doğduğuna
anasından	doğduğuna	pişman
doğduğuna	pişman	edelim
pişman	edelim	diyen
edelim	diyen	akkaya
diyen	akkaya	takipçisini
akkaya	takipçisini	mahkemeye
takipçisini	mahkemeye	vereceğini
mahkemeye	vereceğini	söyledi
vereceğini	söyledi	kanadada
söyledi	kanadada	akıl
kanadada	akıl	hastası
akıl	hastası	adam
hastası	adam	önüne
adam	önüne	geleni
önüne	geleni	bıçakladıkanadanın
geleni	bıçakladıkanadanın	toronto
bıçakladıkanadanın	toronto	şehrinde
toronto	şehrinde	dehşet
şehrinde	dehşet	veren
dehşet	veren	bir
veren	bir	olay
bir	olay	yaşandı
olay	yaşandı	kaldırımda
yaşandı	kaldırımda	korkutucu
kaldırımda	korkutucu	bir
korkutucu	bir	şekilde
bir	şekilde	yürüyen
şekilde	yürüyen	akıl
yürüyen	akıl	hastası
akıl	hastası	şahıs
hastası	şahıs	önce
şahıs	önce	bir
önce	bir	adamı
bir	adamı	ardından
adamı	ardından	da
ardından	da	kadını
da	kadını	bıçakladı
kadını	bıçakladı	yaralanan
bıçakladı	yaralanan	kişiler
yaralanan	kişiler	hemen
kişiler	hemen	hastaneye
hemen	hastaneye	kaldırılırken
hastaneye	kaldırılırken	saldırgan
kaldırılırken	saldırgan	ise
saldırgan	ise	kısa
ise	kısa	süre
kısa	süre	içinde
süre	içinde	yakalandı
içinde	yakalandı	etiketler
yakalandı	etiketler	kanada
etiketler	kanada	istanbul
kanada	istanbul	dha
istanbul	dha	anadolu
dha	anadolu	asliye
anadolu	asliye	ceza
asliye	ceza	mahkemesinde
ceza	mahkemesinde	görülen
mahkemesinde	görülen	davanın
görülen	davanın	duruşmada
davanın	duruşmada	tutuksuz
duruşmada	tutuksuz	sanık
tutuksuz	sanık	abdullah
sanık	abdullah	çakıroğlu
abdullah	çakıroğlu	ve
çakıroğlu	ve	mağdur
ve	mağdur	ayşegül
mağdur	ayşegül	terziyi
ayşegül	terziyi	avukatları
terziyi	avukatları	temsil
avukatları	temsil	etti
temsil	etti	sanığın
